Year_Sampled,Species,OsHV_var,Paper,Title
2010,Magallana gigas,OsHV-1,Renault et al. 2012,Analysis of Clinical Ostreid Herpesvirus 1 (Malacoherpesviridae) Specimens by Sequencing Amplified Fragments from Three Virus Genome Areas
2010,Saccostrea glomerata,OsHV-1 μVar,Jenkins et al. 2013,Identification and characterisation of an ostreid herpesvirus-1 microvariant (OsHV-1 µ-var) in Crassostrea gigas (Pacific oysters) in Australia
2010,Donax trunculus,OsHV-1,Garcia et al. 2018,"Descriptions of Mikrocytos veneroïdes n. sp. and Mikrocytos donaxi n. sp. (Ascetosporea: Mikrocytida: Mikrocytiidae), detected during important mortality events of the wedge clam Donax trunculus Linnaeus (Veneroida: Donacidae), in France between 2008 and 2011"
2010,Magallana gigas,OsHV-1 μVar,Martenot et al. 2015,"Detection of undescribed ostreid herpesvirus 1 (OsHV-1) specimens from Pacific oyster, Crassostrea gigas"
2010,Magallana gigas,OsHV-1 μVar,Degremont & Benabdelmouna 2014,Mortality associated with OsHV-1 in spat Crassostrea gigas: role of wild-caught spat in the horizontal transmission of the disease
2010,Magallana gigas,OsHV-1 μVar,de Lorgeril et al. 2018,Inefficient immune response is associated with microbial permissiveness in juvenile oysters affected by mass mortalities on field
2010,Donax trunculus,OsHV-1 μVar,Cochennec-Laureau et al. 2011,"Les surmortalités des naissains d’huîtres creuses, Crassostrea gigas : acquis des recherches en 2010"
2010,Mytilus edulis,OsHV-1 μVar,Cochennec-Laureau et al. 2011,"Les surmortalités des naissains d’huîtres creuses, Crassostrea gigas : acquis des recherches en 2010"
2010,Mytilus galloprovincialis,OsHV-1 μVar,Cochennec-Laureau et al. 2011,"Les surmortalités des naissains d’huîtres creuses, Crassostrea gigas : acquis des recherches en 2010"
2010,Magallana gigas,OsHV-1 μVar,Pernet et al. 2012,"Mass mortalities of Pacific oysters Crassostrea gigas reflect infectious diseases and vary with farming practices in the Mediterranean Thau lagoon, France"
2010,Magallana gigas,OsHV-1 μVar,Petton et al. 2015,Factors influencing disease-induced mortality of Pacific oysters Crassostrea gigas
2010,Magallana gigas,OsHV-1 μVar,Renault et al. 2014,Ostreid Herpesvirus 1 Infection among Pacific Oyster (Crassostrea gigas) Spat: Relevance of Water Temperature to Virus Replication and Circulation Prior to the Onset of Mortality
2010,Magallana gigas,OsHV-1 μVar,Martenot et al. 2011,"Detection of different variants of Ostreid Herpesvirus 1 in the Pacific oyster, Crassostrea gigas between 2008 and 2010"
2010,Magallana gigas,OsHV-1 μVar,Martenot et al. 2012,Detection of the OsHV-1 μVar in the Pacific oyster Crassostrea gigas before 2008 in France and description of two new microvariants of the Ostreid Herpesvirus 1 (OsHV-1)
2010,Magallana gigas,OsHV-1,Morga et al. 2021,Genomic Diversity of the Ostreid Herpesvirus Type 1 Across Time and Location and Among Host Species
2010,Magallana gigas,OsHV-1 μVar,Keeling et al. 2014,New Zealand juvenile oyster mortality associated with ostreid herpesvirus 1—an opportunistic longitudinal study
